,text,time,lang,country,retweets,favorites
1,Rio 2016: When is the men&amp;apos;s diving final and will Tom Daley be competi - The Independent https://t.co/Kcj5NXL28q,Mon Jul 25 15:00:02 +0000 2016,en,,0,0
2,English Wine &amp;amp; Spirits Company: DWWA 2016 promotion in August https://t.co/kKUdYKuYTd,Mon Jul 25 15:00:02 +0000 2016,en,,0,0
6,RT @PruAshby: Congrats @ENTIQ @clairecockerton #LondonIsOpen #SportsTech #healthtech #FashionTech #IoT #SmartCity @L_Pbusiness https://t.co…,Mon Jul 25 15:00:02 +0000 2016,en,,0,0
7,COVERT POLICING AND SPECIALIST OPERATIONS: FOR USE IN CRIME WRITING  https://t.co/ysQ7h6S0HS Hello crim #article 5 https://t.co/RHlnPuxXzi,Mon Jul 25 15:00:02 +0000 2016,en,,0,0
9,Clashes in Kashmir Risk Taking India-Pakistan Back to Brink of Nuclear War https://t.co/vpdZuHl5qG,Mon Jul 25 15:00:03 +0000 2016,en,,0,0
11,@PitaDaBest @swagneto @haibarr yeah imma do that when I pop egg. Maybe at park today. Just read article sayin Nintendo stock plummeting.,Mon Jul 25 15:00:03 +0000 2016,en,,0,0
12,Interesting Article - https://t.co/08FkmSWKdU,Mon Jul 25 15:00:03 +0000 2016,en,,0,0
16,"RT @LindaSuhler: Whoa!
#BernieMustDisavow
#NeverHillary
#DemsInPhilly https://t.co/VEj37HOMxI",Mon Jul 25 15:00:03 +0000 2016,en,,0,0
18,My article on how better data management and analytics can transform Indian power distribution sector over time - https://t.co/iOQ5Av6NWR,Mon Jul 25 15:00:03 +0000 2016,en,,0,0
22,Allan Ofula : Kenya Economy Is In ICU and Needs Genuine Goodwill Experts - @TheNRPost #TheNewsRoomPost https://t.co/DyixkIiKCH,Mon Jul 25 15:00:03 +0000 2016,en,,0,0
23,"Also, #BIKETOWNpdx demand analysis by Alta didn't include equity (ie Title VI) @surlyurbanist @twjpdx23 https://t.co/uWzU1sOyoZ",Mon Jul 25 15:00:03 +0000 2016,en,,0,0
25,RT @cenkuygur: “I’m With The Banned” by @PennyRed https://t.co/KAK3TNECa1 Best article I've read in a long time! Must read!,Mon Jul 25 15:00:03 +0000 2016,en,,0,0
27,My article arguing Moroccan must not be allowed to join the African Union is enjoying a second life. https://t.co/A6vdjrWaoo,Mon Jul 25 15:00:03 +0000 2016,en,,0,0
28,"RT @marklevinshow: Politico admits Kenneth Vogel made a mistake in colluding with DNC when writing a ""news"" article?  A mistake?  Is... htt…",Mon Jul 25 15:00:03 +0000 2016,en,,0,0
29,1. Read article before you start complaining about them being at a club 2. Their age shouldn't be the shocking part! https://t.co/kzXsGHV3YA,Mon Jul 25 15:00:04 +0000 2016,en,,0,0
34,RLA acts on Council Data Breach - RLA News https://t.co/RGfpi2JMbv,Mon Jul 25 15:00:04 +0000 2016,en,,0,0
36,List of Intel Core i5 microprocessors is the most read article on Wikipedia now: https://t.co/UDCXNEARPm #trending,Mon Jul 25 15:00:05 +0000 2016,en,,0,0
38,『Replay 1986/07/26』Yester Hits BAR 80’…｜https://t.co/sGGboSdnL0 80smusic #fb,Mon Jul 25 15:00:05 +0000 2016,en,,0,0
39,RT @MPNaveenJindal: Pune couple lights up over 100 lives after son’s death in road accident https://t.co/aIovvG7A5D via @IndianExpress,Mon Jul 25 15:00:05 +0000 2016,en,,0,0
41,"RT @Jerry_Ratcliffe: New research explains crime in Philadelphia parks, from @TempleUniv colleague @liz_groff https://t.co/jR5nBOvAzZ",Mon Jul 25 15:00:05 +0000 2016,en,,0,0
